drug,7_days,7_days_min,7_days_max,14_days,30_days
My Way 1.5 Mg Tablet,43,-14,98,83,215
Briellyn Tablet,138,-1937,2214,2027,5004
Enskyce 28 Tablet,12428,1210,23560,26410,61642
Nortrel 7-7-7-28 Tablet,578,-1205,2383,1280,2853
Budesonide 0.5 Mg/2 Ml Susp,10655,9368,11984,20242,31325
Junel Fe 1 Mg-20 Mcg Tablet,-555,-5487,4363,-962,110
Ortho Tri-Cyclen Lo Tablet,16593,14730,18484,31295,43366
Yasmin 28 Tablet,754,-1616,3122,1571,2891
Zolpidem Tartrate 5 Mg Tablet,1511,1356,1660,2725,21805
Epiduo Forte 0.3-2.5% Gel Pump,1500,-6388,9666,2880,4234
Nortrel 1-35 28 Tablet,680,-4995,6321,1400,4872
Microgestin 21 1-20 Tablet,-409,-3277,2432,-784,-259
Montelukast Sod 10 Mg Tablet,1184,-78,2471,2319,4853
Microgestin 21 1.5-30 Tab,165,-882,1220,402,935
Ella 30 Mg Tablet,353,258,447,679,1356
Enpresse-28 Tablet,179,117,230,-1072,-5089
Junel Fe 24 Tablet,817,-1797,3402,1672,4809
Cialis 20 Mg Tablet,126,23,230,261,548
Cryselle-28 Tablet,10073,3067,16969,20402,40450
Valacyclovir Hcl 1 Gram Tablet,7033,2414,11718,13980,29349
Finacea 15% Foam,3834,-2688,10491,6891,12800
Truvada 200 Mg-300 Mg Tablet,23808,4077,44098,47782,112447
Armour Thyroid 30 Mg Tablet,-805,-982,-626,-2510,-4416
Loratadine 10 Mg Tablet,2292,2160,2424,4710,9754
Junel 1.5 Mg-30 Mcg Tablet,-334,-4242,3521,-937,-1302
Microgestin Fe 1.5-30 Tab,168,-1991,2300,1038,4499
Drospirenone-Ee 3-0.03 Mg Tab,16649,4344,29119,29267,45128
Apri 28 Day Tablet,-11566,-21241,-2076,-23463,-43204
Camrese Lo Tablet,5512,1687,9280,10889,20450
Mexiletine 150 Mg Capsule,5692,5692,5692,391,5529
Nikki 3 Mg-0.02 Mg Tablet,-18417,-44951,8894,-35119,-63984
Eucrisa 2% Ointment,138,-6421,6823,-1045,-3924
Norethind-Eth Estrad 1-0.02 Mg,-5313,-14346,4065,-10116,-14838
Vestura 3 Mg-0.02 Mg Tablet,-31658,-33191,-30103,-59295,-80261
Levonor-Eth Estrad 0.15-0.03,5368,-4174,14855,8828,13886
Depo-Subq Provera 104 Syringe,0,-1,1,0,0
Tri-Sprintec Tablet,-39279,-87992,9790,-68201,-63563
"Metformin Hcl 1,000 Mg Tablet",10144,8697,11563,16150,35542
Aviane-28 Tablet,3837,-8488,15784,7307,15089
Levonor-Eth Estrad 0.1-0.02 Mg,279016,241633,315536,554276,897884
Levora-28 Tablet,583,-1679,2807,1609,4223
Clobetasol 0.05% Shampoo,-210635,-210828,-210419,-369461,-432396
Trivora-28 Tablet,217,-1383,1851,561,1996
Norethindrone 0.35 Mg Tablet,9228,-42918,61888,10997,29294
Beyaz 28 Tablet,-152,-1769,1476,-53,684
Propranolol Er 60 Mg Capsule,25189,25189,25189,50586,82433
Viagra 100 Mg Tablet,618,592,646,1059,1067
Nora-Be Tablet,157,-1017,1317,41,227
Tri-Legest Fe-28 Day Tablet,492,-794,1800,972,2168
Levono-E Estrad 0.15-0.03-0.01,33023,11699,55044,68206,139914
Hydrochlorothiazide 25 Mg Tab,256,-319,821,974,3377
Junel 1 Mg-20 Mcg Tablet,-100,-2813,2671,-43,922
Loestrin Fe 1-20 Tablet,116,-1154,1357,151,536
Sprintec 28 Day Tablet,12800,-126940,152675,74298,469353
