drug,7_days,7_days_min,7_days_max,14_days,30_days
Absorica 10 Mg Capsule,0,0,0,0,6254
Absorica 20 Mg Capsule,0,0,0,0,0
Absorica 30 Mg Capsule,1677,0,4048,3756,8903
Absorica 35 Mg Capsule,0,0,0,0,0
Absorica 40 Mg Capsule,1947,0,5066,4589,6734
Acanya Gel Pump,17319,17309,17327,35340,91257
Acetaminophen 500 Mg Tablet,0,0,0,0,16589
Acne Medication 5% Lotion,203,203,203,406,870
Acyclovir 400 Mg Tablet,14315,14199,14439,43183,163458
Acyclovir 800 Mg Tablet,20179,9534,30916,43219,100749
Aczone 5% Gel,0,0,0,0,0
Aczone 7.5% Gel Pump,9948,0,24985,20847,50754
Adapalene 0.1% Cream,0,0,0,0,0
Adapalene 0.1% Gel,5182,5168,5202,44136,214523
Adapalene 0.1% Swab,0,0,0,0,22675
Adapalene 0.3% Gel,1053,0,3250,2503,3758
Adapalene 0.3% Gel Pump,0,0,0,0,0
Adapalene-Bnzyl Perox 0.1-2.5%,0,0,4161,0,0
Addyi 100 Mg Tablet,844,0,4326,0,0
Aimovig 140 Mg/ml Autoinjector,215,154,298,0,0
Aimovig 70 Mg/ml Autoinjector,791,764,825,1948,4742
Ajovy 225 Mg/1.5 Ml Syringe,0,0,0,0,0
Ala-Quin 3-0.5% Cream,0,0,0,0,0
Ala-Scalp 2% Lotion,15306,15305,15306,29878,17900
Albuterol Sul Hfa 90 Mcg Inh,808,797,816,2430,10163
Alclometasone Dipro 0.05% Crm,0,0,0,0,0
Alendronate Sodium 70 Mg Tab,229,226,231,1390,6239
Allopurinol 300 Mg Tablet,0,0,0,0,0
Alprazolam 1 Mg Tablet,0,0,0,0,0
Altabax 1% Ointment,28672,28659,28687,58430,118730
Altavera-28 Tablet,0,0,0,0,0
Altreno 0.05% Lotion,0,0,1177,0,0
Alyacen 1-35-28 Tablet,7949,3022,12806,17405,32788
Alyacen 7-7-7-28 Tablet,2943,1102,4774,12271,43912
Amantadine 100 Mg Capsule,3892,3881,3903,722,0
Amethia 0.15-0.03-0.01 Mg Tab,4946,0,26116,3819,0
Amethia Lo Tablet,4811,0,9674,9609,19141
Amethyst 90-20 Mcg Tablet,215,0,1776,674,628
Amitriptyline Hcl 10 Mg Tab,5836,5748,5932,12220,36858
Amitriptyline Hcl 25 Mg Tab,10416,10404,10435,25640,43160
Amitriptyline Hcl 50 Mg Tab,0,0,0,0,31848
Amlodipine Besylate 10 Mg Tab,3042,2035,4048,6308,15319
Amlodipine Besylate 2.5 Mg Tab,0,0,0,12338,66882
Amlodipine Besylate 5 Mg Tab,0,0,157,0,0
Amlodipine-Benazepril 10-20 Mg,0,0,0,0,0
Ammonium Lactate 12% Cream,37645,37362,37877,0,0
Amox-Clav 875-125 Mg Tablet,1540,1539,1540,350,0
Amoxicillin 500 Mg Capsule,0,0,0,0,73511
Amoxicillin 875 Mg Tablet,0,0,0,0,0
Anastrozole 1 Mg Tablet,0,0,0,0,0
Androgel 1.62%(2.5g) Gel Pckt,0,0,0,0,0
Apri 28 Day Tablet,1404,0,10334,4943,29207
Apriso Er 0.375 Gram Capsule,0,0,0,0,0
Aranelle 28 Tablet,24035,23925,24187,66333,0
Aripiprazole 15 Mg Tablet,6212,6212,6212,11112,0
Aripiprazole 2 Mg Tablet,2162,1441,3135,4297,0
Aripiprazole 5 Mg Tablet,2091,1815,2351,10977,87361
Armodafinil 200 Mg Tablet,1682,1681,1683,2418,0
Armodafinil 250 Mg Tablet,210,210,210,420,900
Armour Thyroid 120 Mg Tablet,70,0,286,336,0
Armour Thyroid 15 Mg Tablet,959,954,965,0,0
Armour Thyroid 180 Mg Tablet,630,630,630,1260,2700
Armour Thyroid 30 Mg Tablet,0,0,0,0,0
Armour Thyroid 60 Mg Tablet,589,401,781,1457,4111
Armour Thyroid 90 Mg Tablet,0,0,0,0,129507
Aspir-Low Ec 81 Mg Tablet,0,0,0,0,0
Aspirin 81 Mg Chewable Tablet,28027,27982,28082,50685,32005
Aspirin Ec 81 Mg Tablet,54727,53728,55603,16647,0
Atenolol 25 Mg Tablet,18048,18044,18051,48534,66220
Atenolol 50 Mg Tablet,0,0,0,0,0
Atorvastatin 10 Mg Tablet,385,0,1995,0,0
Atorvastatin 20 Mg Tablet,1914,657,3203,4047,9212
Atorvastatin 40 Mg Tablet,3779,2944,4643,5738,0
Atorvastatin 80 Mg Tablet,23599,23567,23639,79691,264285
Atovaquone-Proguanil 250-100 Mg Tablet,0,0,0,0,0
Aubra-28 Tablet,12139,12139,12139,25130,22156
Avar Cleanser,231686,221879,239956,724284,2241518
Avar Ls Cleanser,0,0,0,0,0
Avar-E Ls Cream,22448,22352,22550,2200,0
Aviane-28 Tablet,2776,0,14593,5365,12305
Azathioprine 50 Mg Tablet,0,0,0,0,82633
Azelaic Acid 15% Gel,46684,45944,47500,145874,150971
Azelex 20% Cream,12908,12885,12947,0,0
Azithromycin 250 Mg Tablet,0,0,0,0,0
Azithromycin 500 Mg Tablet,0,0,0,0,0
Azurette 28 Day Tablet,0,0,1445,595,1877
Baclofen 10 Mg Tablet,52003,51073,53066,47499,189595
Balcoltra Tablet,3498,3498,3498,1916,0
Balziva 28 Tablet,694,0,2434,1611,4978
Banophen 25 Mg Tablet,210,210,210,420,900
Bd Ultra-Fine Pen Ndl 4mmx32g,0,0,0,0,0
Bd Ultra-Fine Pen Ndl 5mmx31g,0,0,0,0,4751
Benazepril Hcl 20 Mg Tablet,0,0,0,0,0
Benzefoam Ultra 9.8% Foam,99868,99736,100010,187654,155417
Benzepro 6% Foaming Cloths,8485,8485,8485,22635,24120
Benzonatate 100 Mg Capsule,0,0,0,0,12738
Benzoyl Peroxide 10% Wash,0,0,0,28643,197456
Benzoyl Peroxide 2.5% Gel,6520,6506,6538,17073,58545
Benzoyl Peroxide 5% Gel,8557,8557,8557,20111,44549
Benzoyl Peroxide 5% Wash,92769,92685,92851,82680,0
Benztropine Mes 0.5 Mg Tab,0,0,0,0,0
Betamethasone Dp 0.05% Crm,17334,17317,17353,31191,0
