drug,7_days,7_days_min,7_days_max,14_days,30_days
Absorica 10 Mg Capsule,1048,1029,1062,5473,5561
Absorica 20 Mg Capsule,36684,36262,37132,62951,147965
Absorica 30 Mg Capsule,2784,-14944,20486,6052,13877
Absorica 35 Mg Capsule,-6379,-6434,-6306,18212,142534
Absorica 40 Mg Capsule,-86,-4129,3997,2403,10160
Acanya Gel Pump,-12146,-12152,-12141,-23562,8633
Acetaminophen 500 Mg Tablet,-1040,-1040,-1040,-3150,-5646
Acne Medication 5% Lotion,9,9,9,18,39
Acyclovir 400 Mg Tablet,75426,75186,75648,165222,362286
Acyclovir 800 Mg Tablet,5880,2819,9055,12486,28882
Aczone 5% Gel,-31791,-32495,-31010,-68264,-72087
Aczone 7.5% Gel Pump,-1087,-7999,5823,-1889,-2048
Adapalene 0.1% Cream,-50001,-50038,-49984,-154064,-270415
Adapalene 0.1% Gel,-1210,-1214,-1209,-4305,1363
Adapalene 0.1% Swab,203215,202961,203569,375405,136107
Adapalene 0.3% Gel,387,-2288,3078,116,-7010
Adapalene 0.3% Gel Pump,-33043,-33216,-32911,-38437,24399
Adapalene-Bnzyl Perox 0.1-2.5%,-163,-4980,4542,-286,-4690
Addyi 100 Mg Tablet,-41,-1851,1843,2335,44526
Aimovig 140 Mg/ml Autoinjector,-20797,-21064,-20538,-4833,-62546
Aimovig 70 Mg/ml Autoinjector,56855,55329,58633,167359,448837
Ajovy 225 Mg/1.5 Ml Syringe,-320828,-326682,-314231,-964324,-8806882
Ala-Quin 3-0.5% Cream,-216,-273,-143,-23552,-302660
Ala-Scalp 2% Lotion,62477,62445,62489,100845,-26183
Albuterol Sul Hfa 90 Mcg Inh,146,125,164,1408,8469
Alclometasone Dipro 0.05% Crm,4740,4740,4740,1846,-36283
Alendronate Sodium 70 Mg Tab,-31,-31,-31,-36,400
Allopurinol 300 Mg Tablet,16910,16854,16962,52311,189832
Alprazolam 1 Mg Tablet,-1016,-1016,-1016,-2188,-4639
Altabax 1% Ointment,-10856,-10860,-10850,-24137,-433
Altavera-28 Tablet,65056,65010,65100,136614,143591
Altreno 0.05% Lotion,646,-780,2017,2434,7183
Alyacen 1-35-28 Tablet,2730,496,5036,5915,10458
Alyacen 7-7-7-28 Tablet,2335,1295,3406,10823,55764
Amantadine 100 Mg Capsule,1532,1529,1534,284,-6301
Amethia 0.15-0.03-0.01 Mg Tab,2778,-17630,23903,-317,-30272
Amethia Lo Tablet,6396,1843,10952,12822,25661
Amethyst 90-20 Mcg Tablet,-442,-1311,409,-1937,-4470
Amitriptyline Hcl 10 Mg Tab,67,-4,146,-4229,-37367
Amitriptyline Hcl 25 Mg Tab,4556,4535,4571,15663,34523
Amitriptyline Hcl 50 Mg Tab,84,84,84,-1878,-11342
Amlodipine Besylate 10 Mg Tab,616,359,872,1259,2781
Amlodipine Besylate 2.5 Mg Tab,-3451,-3459,-3441,-6911,-13343
Amlodipine Besylate 5 Mg Tab,-500,-741,-251,-1599,-3568
Amlodipine-Benazepril 10-20 Mg,1738,1737,1740,3236,2771
Ammonium Lactate 12% Cream,5822,5819,5826,12370,26792
Amox-Clav 875-125 Mg Tablet,2355,2355,2355,5934,9094
Amoxicillin 500 Mg Capsule,-10968,-11008,-10938,-27267,22239
Amoxicillin 875 Mg Tablet,-871,-871,-870,-1653,5043
Anastrozole 1 Mg Tablet,-906,-919,-892,-1178,6155
Androgel 1.62%(2.5g) Gel Pckt,-5256,-5261,-5251,-12135,-9914
Apri 28 Day Tablet,1393,-1284,4039,4799,22833
Apriso Er 0.375 Gram Capsule,0,-1,1,-527,2149
Aranelle 28 Tablet,2472,2450,2494,5561,22152
Aripiprazole 15 Mg Tablet,-29382,-29382,-29382,-64234,-84256
Aripiprazole 2 Mg Tablet,-1271,-1450,-1103,-2245,-5815
Aripiprazole 5 Mg Tablet,665,538,790,2245,6504
Armodafinil 200 Mg Tablet,1736,1736,1738,2496,-3841
Armodafinil 250 Mg Tablet,23,22,25,1230,1181
Armour Thyroid 120 Mg Tablet,91,-13,193,228,-164
Armour Thyroid 15 Mg Tablet,3,-6,10,1045,145
Armour Thyroid 180 Mg Tablet,316,316,316,527,-514
Armour Thyroid 30 Mg Tablet,-1547,-1621,-1465,-1966,-1777
Armour Thyroid 60 Mg Tablet,2,-43,45,6,9
Armour Thyroid 90 Mg Tablet,-570,-571,-570,-1514,-4146
Aspir-Low Ec 81 Mg Tablet,14,14,15,-6,-235
